track,company,ticker,sector,phase_reached,approved_sources,pending_sources,rejected_sources,downloaded,operational_promoted,strategic_promoted,governance_promoted,rejected_promoted,provisional_use_case_count,confirmed_use_case_count,status,reason
A,Whitbread,WTB,Retail hospitality,promoted,3,0,0,3,0,1,0,1,0,0,promoted,"Fully processed through promotion. Completed the original 10-company pilot roster (untouched since Loop 1). No qualifying operational GenAI evidence -- one thin but genuine strategic mention (Generative AI as a named Board briefing topic); one governance-staged row (AI-enabled food waste detection, the Winnow partnership) correctly rejected as general-AI-only, not generative AI."
A,Barratt Redrow,BTRW,Household goods & home construction,promoted,2,0,0,2,0,0,0,1,0,0,promoted,"Fully processed through promotion. Both approved annual reports fetched and read directly this session with zero screening hits at Stage A and only one at Stage B (general 'artificial intelligence' telehandler proximity-detection trial, correctly rejected). No qualifying GenAI evidence -- genuine no-disclosure company."
A,London Stock Exchange Group,LSEG,Financial services,promoted,5,0,0,5,2,16,7,4,2,1,promoted,"Fully processed through promotion. 2 confirmed/provisional operational use cases: Financial Meeting Prep (Gen AI meeting-briefing generator, explicitly launched/generally available by end of 2024 -- 2_moderate/confirmed) and AI Insights API (Gen AI natural-language summarisation, weaker deployment-stage evidence -- 1_weak/provisional only). Both were manually split out of an over-consolidated 'vague_general_ai_reference' rejected staging row (LSEG-REJ-052), the same known staging-engine limitation seen with RELX in Loop 3. Two further concrete but explicitly planned/future-tense GenAI announcements (ChatGPT/MCP connector; 4,000-employee ChatGPT Enterprise rollout) were coded as strategic, not operational, per this loop's rule against classifying planned deployments as operational -- also split out of an over-consolidated rejected row (LSEG-REJ-067). Richest AI disclosure of any company processed this loop."
A,Smiths Group,SMIN,General industrials,promoted,2,0,0,2,0,1,0,1,0,0,promoted,"Fully processed through promotion. One thin but genuine strategic mention ('GenAI' named as a technology megatrend); one governance-staged row (general 'artificial intelligence' adoption risk) correctly rejected as general-AI-only. Note: Smiths Detection (predictive/classification AI for CT threat detection) is being divested from Smiths Group (sale agreed 2025, completion expected H2 2026) and does not involve generative AI in any case."
A,British Land,BLND,Real estate,promoted,2,0,0,2,0,0,0,2,0,0,promoted,"Fully processed through promotion. Both approved annual reports fetched and read directly this session with no generative-AI/LLM/copilot language describing British Land's own use found anywhere. Sole 'generative AI' mention names Synthesia as an office tenant (AI-sector demand for London office space), not British Land's own use -- correctly rejected. Sole governance-staged row (ERP 'AI Automation') rejected as general-AI-only. Genuine no-disclosure company."
B,Lloyds Banking Group,LLOY,Banks,manual_queue,1,2,0,0,0,0,0,0,0,0,still_blocked,"Not restarted this loop (Track B this loop is queue-preparation only, no automated retries of known-blocked URLs). AR2024 pending row is document-location-only (a working 'Annual Review' alternative URL was found via search but itself returned a domain-wide application-error page on retry -- needs a human browser). Two GenAI press releases (Copilot scaling; AI-powered financial assistant) remain genuinely ambiguous and blocked by the same application-error page. Added to manual_browser_resolution_queue_loop4.csv with exact per-row manual actions."
B,BAE Systems,BA,Aerospace & defence,manual_queue,2,0,1,0,0,0,0,0,0,0,still_blocked,"Not restarted this loop. Both approved annual reports remain blocked by Incapsula bot-protection (confirmed genuine in Loop 3 after fixing the ERROR_PAGE_MARKERS detection gap). Added to manual_browser_resolution_queue_loop4.csv with exact manual-download and file-placement instructions."
B,Unilever,ULVR,Personal goods,manual_queue,3,2,0,0,0,0,0,0,0,0,still_blocked,"Not restarted this loop. Both pending GenAI press releases (Google Cloud/Vertex AI partnership; AI product-shoot content creation) remain blocked by HTTP 403 on unilever.com, reconfirmed domain-wide this session on a different unilever.com URL. Added to manual_browser_resolution_queue_loop4.csv."
B,Sage Group,SGE,Software & computer services,manual_queue,2,3,0,0,0,0,0,0,0,0,still_blocked,"Not restarted this loop. All 3 pending rows (Non-Financial Statement document-location question; Sage Copilot 1-year press release; Sage Copilot product page) remain blocked by HTTP 403 on sage.com, reconfirmed domain-wide this session on a third, different sage.com URL. Sage Copilot is a customer-facing product but this project's precedent (RELX) establishes that customer-facing GenAI products DO qualify under the coding manual provided a concrete task/user group/deployment stage is directly verified -- that direct verification is exactly what remains blocked. Added to manual_browser_resolution_queue_loop4.csv."
B,BP,BP,Oil & gas producers,manual_queue,2,2,0,0,0,0,0,0,0,0,still_blocked,"Not restarted this loop. Both pending GenAI sources (Copilot for Microsoft 365; Wells Assistant, a named generative-AI platform for upstream engineering) remain blocked by HTTP 403 on bp.com. Added to manual_browser_resolution_queue_loop4.csv, including the BP-specific instruction to distinguish GenAI from predictive-maintenance/industrial-AI tools once the Wells Assistant page is readable."
